text,setiment
intern electron industri compani elcoteq laid ten employe tallinn facil contrari earlier layoff compani contract rank offic worker daili postime report,negative
tinyurl link take user scam site promis user earn thousand dollar becom googl nasdaq goog cash advertis,negative
compar ftse index rose point day rel price chang,negative
one challeng oil product north sea scale format plug pipelin halt product,negative
jan ford struggl face slow truck suv sale surfeit date gotta car,negative
peer peugeot fell pct sale rose pct period last year,negative
pharmaceut group orion corp report fall third quarter earn hit larger expenditur r market,negative
howev growth margin slow due financi crisi,negative
februari finland base steel maker rautaruukki oyj hel rtrk ruukki said today slip larger expect pretax loss eurm fourth quarter year earlier profit eurm,negative
adpnew feb finland base steel maker rautaruukki oyj hel rtrk ruukki said today slip larger expect pretax loss eur million usd fourth quarter,negative
result tax decreas nearli eur mn compar nearli eur mn previou account period,negative
compani slip oper loss eur million profit eur million,negative
april finnish construct engin compani outotec oyj hel otev said today slip net loss eur first quarter net profit eur correspond period last year,negative
cramo slip pretax loss eur million pretax profit eur million,negative
finnish solut provid affecto oyj hel afev said today slip net loss eur usd second quarter profit eur correspond period year earlier,negative
comptel slip net loss eur profit eur previou year,negative
q profit tax amount eur mn eur mn q,negative
adpnew feb finnish real estat investor sponda oyj hel sdav said today slip net loss eur million usd profit eur million,negative
adpnew jul finland base steel maker rautaruukki oyj ruukki hel rtrk said today slip net loss eur million usd first half net profit eur,negative
profit tax amount eur mn eur mn year ago,negative
profit tax decreas eur mn first nine month compar eur mn year earlier,negative
profit tax decreas eur mn eur mn year,negative
profit tax eur mn eur mn,negative
compani profit tax fell eur mn third quarter compar eur mn correspond period,negative
also construct expens gone russia,negative
august finnish measur equip maker vaisala oyj hel vaia said today net loss widen eur first half eur correspond period year earlier,negative
finnish power suppli solut system provid efor oyj said net loss widen mln euro mln first quarter fiscal end octob euro mln period fiscal,negative
adp news apr finnish busi inform system develop solteq oyj hel stqv said today net loss widen eur usd first quarter eur peri,negative
salonen ad data show produc pulp inventori north america declin,negative
elcoteq group recent announc last three month previou year brought major loss half billion kroon eur mln fifth quarter run,negative
cash flow oper recent quarter also reach eight year low,negative
rise cost forc packag produc huhtamaki axe job hampshir manufactur plant,negative
howev rapidli increas cost strengthen euro challeng whole industri impact result,negative
growth rate pay nation debt extrem pain,negative
oper loss increas eur mn loss eur mn,negative
payment million lita interest long term loan provid raguti major sharehold estonia le coq also ad loss,negative
moment valio worri ban continu long may becom quit problem,negative
finnish suominen corpor make wet wipe nonwoven flexibl packag start employ employe negoti tamper plant finland lay employe,negative
accord arokarhu purchas scan cash regist comput disappear total sum key press,negative
accord compani staff laid temporarili necessari,negative
result negoti employ blue white collar employe oulu plant would termin,negative
finnish softwar hardwar develop elektrobit oyj hel ebgv eb said today temporarili lay peopl maximum day finland aim achiev cost save eur million usd second half,negative
hand finnish sawmil product decreas even,negative
net sale finnish sanoma learn literatur finnish media group sanoma decreas januari june total eur mn eur mn correspond period,negative
employ finland abroad unit record first quarter sale mln eur oper loss mln eur,negative
jp morgan expect scala lower nobel biocar growth forecast current guidanc pct well oper margin target current pct,negative
furthermor sale new passeng car light commerci vehicl countri declin year year last month,negative
servic firm tietoen buck gener trend hold flat eur slip back earlier gain,negative
profit ebit compar q,negative
sever larg stock tack lower howev,negative
sale mid strength beer decreas,negative
teliasonera underli result howev includ mln skr posit one off henc adjust underli ebitda actual amount bln skr clearli expect analyst said,negative
finnish insur compani fennia kesko group end loyal custom cooper,negative
finnish daili kauppalehti surmis finnish supplier rautaruukki rais price aker comfort zone,negative
share royal sun allianc continu slide back month high p last month potenti suitor rule takeov bid,negative
manag director comment net sale first quarter notabl lower year especi finland russia baltic countri,negative
super nasti said eric schultz chief technolog offic shavlik technolog llc st paul minn base maker patch manag tool,negative
third origin particip drop due nausea side effect,negative
aspocomp larg factori china factori build project india halt due financ problem,negative
f secur also point logic weak sequenc number card approach appar alreadi utilis,negative
seawind en rout finnish port turku stockholm got stuck ice alreadi around p wednesday regal star journey swedish port kapellskar paldiski northwestern estonia cut short thursday,negative
uncommonli weak snow condit nearli everi market affect first quarter result chief execut roger talermo said,negative
danish compani flsmidth acknowledg violat patent held finnish metso,negative
liquid provid interrupt may aspocomp group oyj share trade cent aspocomp stock exchang releas,negative
adp news feb finnish retail kesko oyj hel kesbv said today total sale exclud valu ad tax vat stood eur million usd januari year yea,negative
low capac utilis rate steel product consider increas fix cost per unit steel produc,negative
asian traffic declin per cent,negative
finnish plumb heat system supplier uponor temporarili lay whole workforc finland two week mid juli,negative
finland metal sector compani componenta lay temporarili staff pori mill christma till januari,negative
accord aktia asset manag finnish analyst forecast still high,negative
part reorganis measur take place spring tamglass finton start personnel negoti affect entir staff,negative
benefon target lay temporarili perman salo plant staff,negative
oper cash flow invest total eur mn compar eur mn correspond period,negative
lay off affect peopl total okmet employe finland,negative
major compani personnel finland temporarili laid one six week period februari june period,negative
worker l affect close,negative
finland base stockmann group close seven franchis sport store nike russia,negative
finland sampo bank part dansk bank group lay staff administr support function,negative
scanfil system supplier contract manufactur commun sector give notic product employe temporarili lay employe compani plant sievi finland,negative
scanfil system supplier contract manufactur commun sector start personnel negoti oulu finland lay staff temporarili,negative
addit compani termin maximum nine salari senior salari employe employ contract,negative
also citi insur compani p c insur said pay compens,negative
result compani decid implement fix term temporari lay off,negative
result compani temporarili lay whole personnel approxim person kirkkonummi nivala factori,negative
result negoti amount employ contract termin,negative
result negoti compani termin total employ contract,negative
due market condit compani also temporarili lay peopl differ site,negative
gsk announc novemb would close oper dartford,negative
addit employe laid notic whole workforc laid short period need,negative
metso foundri jyvaskyla inc begin personnel negoti temporari lay off personnel reduct jyvaskyla finland,negative
nation concili juhani saloniu met parti wednesday said far apart view propos mediat,negative
